Name,Crunchbase,Website,Twitter,Facebook,Linkedin,Company size,Headquarters,Founded,Offices,Revenue,EBITDA,Phone,CEO,CFO,CTO
HammerTech Global,https://www.crunchbase.com/organization/hammertech-global,http://www.hammertechglobal.com,,,https://www.linkedin.com/company/hammer-technologies-pty-ltd/,51-200 employees,"Richmond, Victoria",2013,3,,,,,,
Archistar.ai,https://www.crunchbase.com/organization/archistar,http://www.archistar.ai,,https://www.facebook.com/archistarai,https://www.linkedin.com/company/archistarai/,51-200 employees,"Sydney, NSW",,1,,,,,,
Ingenia Communities Group,https://www.crunchbase.com/organization/ingenia-communities-group,http://www.ingeniacommunities.com.au,,https://www.facebook.com/ingeniacommunities/,https://www.linkedin.com/company/ingenia-communities/,"501-1,000 employees","Sydney, NSW",,2,289970000,91182000,,,,
canibuild,https://www.crunchbase.com/organization/canibuild,http://www.canibuild.com,https://www.twitter.com/canibuild1,https://www.facebook.com/Canibuild-109018857115950/,https://www.linkedin.com/company/canibuild/,11-50 employees,"Sydney, New South Wales",,2,,,1300 102 495,,,
Sitemate,https://www.crunchbase.com/organization/sitemate,https://sitemate.com,https://twitter.com/sitematehq,https://www.facebook.com/sitematehq/,https://www.linkedin.com/company/sitemate-technologies/,11-50 employees,"Sydney, NSW",2015,1,,,(+61) 2-8103-3140,,,
SignOnSite,https://www.crunchbase.com/organization/signonsite,http://www.signonsite.com,https://twitter.com/signonsite,https://www.facebook.com/signonsite,https://www.linkedin.com/company/signonsite/,11-50 employees,"Canberra, ACT",2013,1,,,(+61) 1800 744 666,,,
Endeavour Programme,https://www.crunchbase.com/organization/endeavour-programme-2736,https://octantai.com/,,,https://www.linkedin.com/company/octantai/,2-10 employees,,2017,3,,,,,,
PlantMiner,https://www.crunchbase.com/organization/plantminer,https://marketplace.felix.net,https://twitter.com/PlantMinerAU,https://www.facebook.com/PlantMiner,https://www.linkedin.com/company/felix-vendor-marketplace/,51-200 employees,"Brisbane, QLD",2012,1,,,,,,
HiveUAV,https://www.crunchbase.com/organization/hiveuav,http://hiveuav.com,https://twitter.com/@hiveuav,https://www.facebook.com/hiveuav,https://www.linkedin.com/company/hiveuav/,11-50 employees,,2014,,,,,,,
Parkd,https://www.crunchbase.com/organization/parkd-d9cd,http://www.parkdgroup.com,https://twitter.com/parkd_ltd,https://www.facebook.com/pg/parkdgroup/about/?ref=page_internal,https://www.linkedin.com/company/parkd-group/,2-10 employees,"Perth, Western Australia",2016,1,121300,-573733,,Mr. Peter  McUtchen,,
The Safety Compass,https://www.crunchbase.com/organization/safety-compass,http://www.thesafetycompass.com.au/,https://twitter.com/safetycompassau,https://www.facebook.com/thesafetycompass,,,,,,,,,,,
HiKey Resources,https://www.crunchbase.com/organization/hikey-resources,http://www.hikey-resources.com,https://www.twitter.com/hikeyresources,https://www.facebook.com/hikeyresources,https://www.linkedin.com/company/hikey-resources/,2-10 employees,"Maroubra, NSW",,2,,,,,,
PT Blink,https://www.crunchbase.com/organization/pt-blink,https://ptblink.com,,https://www.facebook.com/ptblinktech/,https://www.linkedin.com/company/ptblink/,11-50 employees,"Sydney, New South Wales",,1,,,+61 1300 77 88 12,,,
Carapace Slate,https://www.crunchbase.com/organization/carapace-slate,http://www.carapaceslate.com,https://twitter.com/CarapaceSlate,https://www.facebook.com/CarapaceSlate/,https://www.linkedin.com/company/sunscape-systems/,2-10 employees,"Penarth, Vale of Glamorgan",2012,1,,,,,,
Lendlease,https://www.crunchbase.com/organization/lend-lease,http://www.lendlease.com,https://twitter.com/lendleasegroup,https://www.facebook.com/LendleaseGroup/,https://www.linkedin.com/company/lendlease/,"5,001-10,000 employees","Barangaroo, NSW",1958,4,9771000000,623000000,,Mr. Anthony Peter Lombardo,Mr. Simon Collier  Dixon,
