Name,Crunchbase,Website,Twitter,Facebook,Linkedin,CEO,CFO,CTO,Revenue,EBITDA
HammerTech Global,https://www.crunchbase.com/organization/hammertech-global,https://hammertechglobal.com/,,,https://www.linkedin.com/company/hammer-technologies-pty-ltd/,"Leach, Ben","Stassen, Wynand","Harris, James",,
Archistar.ai,https://www.crunchbase.com/organization/archistar,https://archistar.ai,,https://www.facebook.com/archistarai,https://www.linkedin.com/company/archistar-academy,,,,,
Ingenia Communities Group,https://www.crunchbase.com/organization/ingenia-communities-group,http://www.ingeniacommunities.com.au/,,https://www.facebook.com/ingeniacommunities/,https://in.linkedin.com/company/ingenia-communities,"Owen, Simon Richard","Noble, Scott Cameron",,296400000.0,96800000.0
canibuild,https://www.crunchbase.com/organization/canibuild,https://canibuild.com/,https://www.twitter.com/canibuild1,https://www.facebook.com/Canibuild-109018857115950/,https://www.linkedin.com/company/canibuild/,,,,,
Sitemate,https://www.crunchbase.com/organization/sitemate,https://sitemate.com,https://twitter.com/sitematehq,https://www.facebook.com/sitematehq/,https://www.linkedin.com/company/sitemate-technologies/,,,,,
SignOnSite,https://www.crunchbase.com/organization/signonsite,https://signonsite.com.au,https://twitter.com/signonsite,https://www.facebook.com/signonsite,https://www.linkedin.com/company/signonsite,,,,,
Endeavour Programme,https://www.crunchbase.com/organization/endeavour-programme-2736,https://www.endeavourprogramme.com/,,,https://www.linkedin.com/company/endeavour-programme-pty-ltd/,,,,,
PlantMiner,https://www.crunchbase.com/organization/plantminer,http://www.plantminer.com.au/,https://twitter.com/PlantMinerAU,https://www.facebook.com/PlantMiner,https://www.linkedin.com/company/plantminer,,,,,
HiveUAV,https://www.crunchbase.com/organization/hiveuav,http://www.hiveuav.com/,https://twitter.com/@hiveuav,https://www.facebook.com/hiveuav,https://www.linkedin.com/company/hiveuav,,,,,
Parkd,https://www.crunchbase.com/organization/parkd-d9cd,http://www.parkdgroup.com/,https://twitter.com/parkd_ltd,https://www.facebook.com/pg/parkdgroup/about/?ref=page_internal,https://www.linkedin.com/company/17897966/,,,,,
The Safety Compass,https://www.crunchbase.com/organization/safety-compass,http://www.thesafetycompass.com.au/,https://twitter.com/safetycompassau,https://www.facebook.com/thesafetycompass,https://www.linkedin.com/company-beta/5516633/,"Eckersley-Maslin, Sebastien",,,,
HiKey Resources,https://www.crunchbase.com/organization/hikey-resources,http://www.hikey-resources.com,https://www.twitter.com/hikeyresources,https://www.facebook.com/hikeyresources,https://www.linkedin.com/company/hikey-resources,,,,,
PT Blink,https://www.crunchbase.com/organization/pt-blink,http://ptblink.com/,,https://www.facebook.com/ptblinktech/,https://www.linkedin.com/company/pt-blink/,,,,,
Carapace Slate,https://www.crunchbase.com/organization/carapace-slate,http://www.carapaceslate.com/,https://twitter.com/CarapaceSlate,https://www.facebook.com/CarapaceSlate/,https://www.linkedin.com/company/sunscape-systems/,,,,,
Lendlease,https://www.crunchbase.com/organization/lend-lease,http://www.lendlease.com/,https://twitter.com/lendleasegroup,https://www.facebook.com/LendleaseGroup/,https://www.linkedin.com/company/lend-lease/,"Lombardo, Anthony Peter","Dixon, Simon Collier",,9892000000.0,126000000.0
Neometals,https://www.crunchbase.com/organization/neometals,https://www.neometals.com.au/,https://twitter.com/neometalsltd,,,"Reed, Christopher John","Carone, Jason",,,16500000.0
Downer EDI Ltd,https://www.crunchbase.com/organization/downer-edi-ltd,http://www.downergroup.com,https://www.twitter.com/downergroup,,https://www.linkedin.com/company-beta/63273?pathWildcard=63273,"Fenn, Grant Anthony","Ferguson, Michael James",,11543700000.0,583200000.0
Boral Ltd,https://www.crunchbase.com/organization/boral-ltd,http://www.boral.com.au/,https://www.twitter.com/boralproducts,https://www.facebook.com/boralproducts,,"Todorcevski, Zlatko",,,2924100000.0,359800000.0
EstimateOne,https://www.crunchbase.com/organization/estimateone,http://www.estimateone.com,,https://www.facebook.com/estimateoneau,https://www.linkedin.com/company/estimateone-pty-ltd,,,,,
Acrow Formwork & Scaffolding,https://www.crunchbase.com/organization/acrow-formwork-scaffolding,http://www.acrow.com.au,,,https://www.linkedin.com/company/1911933/,,,,,
Metricon Homes,https://www.crunchbase.com/organization/metricon-homes,https://www.metricon.com.au/,https://twitter.com/MetriconHomes,https://www.facebook.com/metricon,https://www.linkedin.com/company/metricon/,,,,,
UGL Limited,https://www.crunchbase.com/organization/ugl-limited,http://www.ugllimited.com,,,https://www.linkedin.com/company/ugl-limited,,"Kidman, Will",,1946200000.0,137600000.0
Cribber,https://www.crunchbase.com/organization/cribber,https://www.afternic.com,https://twitter.com/cribberapp,https://www.facebook.com/cribberapp/,https://www.linkedin.com/company/3624812/,"Mike, -",,"Despres, Ross",,
