Name,Headquarters,Founded,Company size,Revenue,EBITDA,Offices,CEO,CFO,CTO,Phone,Solution,Website,Linkedin,Crunchbase,Facebook,Twitter
Underground Cable Systems,,,,64700000,16100000,,"Ellich, Stephen",,,,Construction and Engineering,http://www.ucs.com.au/,,https://www.crunchbase.com/organization/underground-cable-systems,,
NDY Group,"West Melbourne, Victoria",1959,"501-1,000 employees",89900000,6600000,12,,,,,Construction and Engineering,http://www.ndy.com,https://www.linkedin.com/company/norman-disney-&-young/,https://www.crunchbase.com/organization/ndy-group,https://www.facebook.com/ndygroup,https://www.twitter.com/ndygroup
Atlas Arteria,,,,90600000,34300000,,"Bevans, Graeme Francis","Lennie, Nadine",,,Highways and Railtracks,https://www.atlasarteria.com/,,https://www.crunchbase.com/organization/atlas-arteria,,
J&P Richardson Industries,,,,97900000,4400000,,,,,,Construction and Engineering,http://www.jpr.com.au/,,https://www.crunchbase.com/organization/j-p-richardson-industries,,
Duratec Australia,"Wangara, WA",2010,"501-1,000 employees",235700000,13500000,16,,"Ryan, Paul",,1300 402 401,Construction and Engineering,http://www.duratec.com.au,https://www.linkedin.com/company/duratec-australia/,https://www.crunchbase.com/organization/duratec-australia,,
Golding Contractors,"Milton, Queensland",1942,"1,001-5,000 employees",291000000,37400000,6,"Caton, Geoff",,,,Construction and Engineering,http://www.golding.com.au,https://www.linkedin.com/company/golding-contractors-pty-ltd/,https://www.crunchbase.com/organization/golding-contractors,,
Ingenia Communities Group,"Sydney, NSW",,"501-1,000 employees",296400000,96800000,2,"Owen, Simon Richard","Noble, Scott Cameron",,,,http://www.ingeniacommunities.com.au,https://www.linkedin.com/company/ingenia-communities/,https://www.crunchbase.com/organization/ingenia-communities-group,https://www.facebook.com/ingeniacommunities/,
DECMIL,"Perth, WA",1978,201-500 employees,303700000,4800000,3,"Dique, Andries","Ings, Alan",,,Construction and Engineering,http://www.decmil.com,https://www.linkedin.com/company/decmil-australia/,https://www.crunchbase.com/organization/decmil,,
Wagners,"Wellcamp, Queensland",1989,"501-1,000 employees",320700000,39000000,6,"Coleman, Cameron","Hume, Fergus",,07 4637 7777,Construction Materials,http://www.wagner.com.au,https://www.linkedin.com/company/wagners/,https://www.crunchbase.com/organization/wagners,,
Ausco Holdings PTY Limited,"Crossville, TN",1982,51-200 employees,400500000,55600000,1,,,,,Construction and Engineering,http://www.800plateau.com,https://www.linkedin.com/company/the-plateau-group-inc-/,https://www.crunchbase.com/organization/ausco-holdings-pty-limited,https://ausco.com.au/,https://www.twitter.com/https://twitter.com/auscomodular
Gwa Group,,,"501-1,000 employees",405700000,70100000,3,"Meyerhans, Urs B.","Gibson, Patrick A.",,,Building Products,http://www.gwagroup.com.au/,https://www.linkedin.com/company/gwagroup/,https://www.crunchbase.com/organization/gwa-group,,
Seymour Whyte,,,,433200000,2100000,,"Kirkwood, John","Padget, Nicola",,,Construction and Engineering,https://www.seymourwhyte.com.au,,https://www.crunchbase.com/organization/seymour-whyte,,
Johns Lyng Group,"Doncaster, VIC",,"501-1,000 employees",568400000,47900000,4,"Didier, Scott Andrew","Lunn, Matthew",,,Construction and Engineering,http://www.johnslyng.com.au,https://www.linkedin.com/company/johns-lyng-group/,https://www.crunchbase.com/organization/johns-lyng-group,,
Coates Hire,"Mascot, NSW",1885,"1,001-5,000 employees",775700000,317400000,1,"Vitlich, Murray John","Proctor, Jeff",,,Trading Companies and Distributors,https://www.coates.com.au/,https://www.linkedin.com/company/coates-hire_2/,https://www.crunchbase.com/organization/coates-hire,https://www.facebook.com/CoatesHire/,https://twitter.com/coateshire
Service Stream,"Melbourne, Victoria",,"1,001-5,000 employees",803000000,58400000,1,,"Kow, Linda",,+61 3 9677 8888,Construction and Engineering,http://www.servicestream.com.au,https://www.linkedin.com/company/service-stream/,https://www.crunchbase.com/organization/service-stream,,
Brickworks,,,,890300000,62400000,,,"Bakewell, Robert Canvin",,,Construction Materials,https://www.brickworks.com.au,,https://www.crunchbase.com/organization/brickworks,,
ADCO Constructions,"North Sydney, NSW",1972,"501-1,000 employees",901800000,18200000,5,,,,,Construction and Engineering,https://www.adcoconstruct.com.au,https://www.linkedin.com/company/adco-constructions/,https://www.crunchbase.com/organization/adco-constructions,https://www.facebook.com/ADCOConstructionsAU/,
